building_pipe_dreams

#N<>S pipes:
# NSP_1
# NSP_3
# NSP_5
# NSP_10
#E<>W pipes:
# EWP_1
# EWP_3
# EWP_5
# EWP_10
#Connecter and Verticle pipe:
# VCP
#Machines that attach to pipes:
# WATERPUMP
# WATERGENR
# MAGMAPUMP
# MAGMAGENR

# Amostubal: These Buildings are not directly added into the entity file as 
# is the case with other files instead the pipe[dreams.lua script reads the
# following section as line by line DFHack commands:
#
- START PIPE DREAMS
- MOUNTAIN NSP_1 NS_PIPE
- MOUNTAIN NSP_3 NS_PIPE
- MOUNTAIN NSP_5 NS_PIPE
- MOUNTAIN NSP_10 NS_PIPE
- MOUNTAIN EWP_1 EW_PIPE
- MOUNTAIN EWP_3 EW_PIPE
- MOUNTAIN EWP_5 EW_PIPE
- MOUNTAIN EWP_10 EW_PIPE
- MOUNTAIN VCP VC_PIPE
- MOUNTAIN WATERPUMP WORKSHOP
- MOUNTAIN WATERGENR WORKSHOP
- MOUNTAIN MAGMAPUMP WORKSHOP
- MOUNTAIN MAGMAGENR WORKSHOP
- END PIPE DREAMS
#

[OBJECT:BUILDING]

#N<>S pipes:
[BUILDING_WORKSHOP:NSP_1]
	[NAME:North/South Pipe 1]
	[NAME_COLOR:7:0:1]
	[WORK_LOCATION:1:1]
	[BUILD_LABOR:MECHANICS]
	[DIM:1:1]
	[BLOCK:1:0]
	[TILE:0:1:179]
	[COLOR:0:1:0:0:0]
	[TILE:1:1:179]
	[COLOR:1:1:0:0:0]
	[TILE:2:1:179]
	[COLOR:2:1:0:0:0]
	[TILE:3:1:179]
	[COLOR:3:1:0:0:0]
	[BUILD_ITEM:1:PIPE_SECTION:NONE:NONE:NONE]
		[CAN_USE_ARTIFACT]

[BUILDING_WORKSHOP:NSP_3]
	[NAME:North/South Pipe 3]
	[NAME_COLOR:7:0:1]
	[WORK_LOCATION:1:1]
	[BUILD_LABOR:MECHANICS]
	[DIM:1:3]
	[BLOCK:1:0]
	[BLOCK:2:0]
	[BLOCK:3:0]
	[TILE:0:1:179]
	[TILE:0:2:179]
	[TILE:0:3:179]
	[COLOR:0:1:0:0:0]
	[COLOR:0:2:0:0:0]
	[COLOR:0:3:0:0:0]
	[TILE:1:1:179]
	[TILE:1:2:179]
	[TILE:1:3:179]
	[COLOR:1:1:0:0:0]
	[COLOR:1:2:0:0:0]
	[COLOR:1:3:0:0:0]
	[TILE:2:1:179]
	[TILE:2:2:179]
	[TILE:2:3:179]
	[COLOR:2:1:0:0:0]
	[COLOR:2:2:0:0:0]
	[COLOR:2:3:0:0:0]
	[TILE:3:1:179]
	[TILE:3:2:179]
	[TILE:3:3:179]
